question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,judge_reasoning
1,A,I'm looking for the specific working pressure rating in MPa for the Hydroscand hose 1103-03-04. Can you find it?,0,0,1,0,none,3.453,468,"Answer is incorrect because it claims the AI couldn't find information, but the ground truth answer provides a clear working pressure rating."
2,A,We need to verify the maximum outer diameter (YD mm) for the KAPPAFLEX 1 model 1103-03-08. What is it?,1,1,1,0,none,4.408,388,"The AI answer directly extracts the correct value from the source, without any additional information or errors."
3,A,Can you tell me the internal diameter (ID) of the 1103-03-12 hydraulic hose in fractional inches?,0,0,0,0,unknown,4.606,464,"Judge error: Expecting ',' delimiter: line 7 column 73 (char 192)"
4,A,"What is the tightest bend radius we should allow for the 1 1/4"" hose with article number 1103-03-20?",1,1,1,0,none,4.423,387,"Answer conveys the same core facts as ground truth, with accurate citation and unit fidelity."
5,A,I need to compare the weight per meter between the 1103-03-04 and 1103-03-16 hoses. Which one is heavier?,0,0,0,1,hallucination,4.847,455,"The AI answer claims it cannot provide a comparison due to missing product codes, but the ground truth provides specific weights per meter."
6,A,"Within the 1105-10 series, which specific article number should I use if I need exactly 45.0 MPa working pressure?",0,0,1,1,hallucination,5.035,496,The AI answer contains an unsupported claim about the article numbers being identical despite having different bending radii.
7,A,Check the minimum and maximum lengths for the 1105-10-04-30 reel configuration.,1,1,1,0,none,4.693,342,The AI answer directly replicates the ground truth without any deviations or inaccuracies.
8,A,"What's the internal diameter in millimeters for the 3/4"" 1105-10-12 hose?",0,0,1,0,none,4.698,428,"The AI answer conveys the same core facts as the ground truth, but with a minor unit discrepancy."
9,A,"Can you find the specific weight in kg/m for the 1"" 1105-10-16 hose?",0,0,1,0,none,4.719,439,"Answer conveys the same core facts as ground truth, but lacks a specific reference"
10,A,"If I switch from 1105-10-04 to 1105-10-08, how much larger will the bend radius be?",0,0,0,1,hallucination,4.462,400,The AI answer contains an unsupported claim about the product codes not being mentioned in any sources.
11,A,What is the maximum pressure limit for a Hydroscand 1105-63-04 hose?,0,0,0,1,hallucination,4.573,436,"Answer claims no information is available for the product code, but actually provides a correct answer"
12,A,I'm looking at reels 1105-63-04-30 and 1105-63-08-30. Are there any differences in the hose dimensions?,0,0,1,0,none,4.529,378,"Answer conveys the same core facts as ground truth, but lacks context and specificity"
13,A,What is the minimum recommended bend radius for the 1105-63-16 model?,0,0,0,1,hallucination,4.55,422,"Answer claims no information is available for the product code, but actually provides a correct answer"
14,A,"How much does a meter of the 1 1/4"" hose 1105-63-20 weigh?",0,0,1,0,none,4.637,430,"Answer conveys the same core fact (weight) as ground truth, but lacks context and references"
15,A,Can you verify the working pressure rating for article 1105-21-04?,1,1,1,0,none,4.47,378,The AI answer directly replicates the ground truth without any deviations or inaccuracies.
16,A,What is the external diameter (YD) of the 1105-21-16 variant?,1,1,1,0,none,4.446,373,"Answer matches ground truth exactly, no extraneous information"
17,A,I need to know the ID in inches for the 1105-43-06 Hydroscand model.,0,0,1,0,none,4.686,446,"Answer conveys the same core fact (product code) as ground truth, but lacks context and specificity"
18,A,What is the longest reel length I can get for article 1104-17-04-30?,0,0,1,0,none,4.387,357,"Answer is correct but lacks context, citing the product code directly"
19,A,"Find the weight per meter for the 1"" configuration of 1104-17-16.",0,0,0,1,hallucination,4.51,414,"Answer claims no information is available for the product code, but ground truth provides a clear unit weight value."
20,A,"What is the nominal working pressure recorded for the 1/4"" 1102-14-04?",1,1,1,0,none,4.43,385,"Answer matches ground truth exactly, no deviations or inaccuracies"
21,A,Can you find the working pressure for article 1106-73-08?,1,1,1,0,none,4.51,385,The AI answer conveys the same core facts as the ground truth and provides a specific reference.
22,A,What is the outer diameter specification for 1106-73-10?,0,0,0,1,hallucination,4.334,371,Incorrect unit value (mm) provided instead of the correct value (28.8 mm)
23,A,Check the bending radius for article 1106-73-12 in the catalog.,1,1,1,0,none,4.308,371,"The AI answer exactly matches the ground truth, with no deviations or inaccuracies."
24,A,I need the weight per meter for the 1106-73-16 hose.,0,0,0,1,hallucination,4.818,427,"AI claims to not have information about the product, but instead provides a plausible-sounding explanation that is not supported by the ground truth."
25,A,Identify the working pressure rating for the 1106-43-08 variant.,1,1,1,0,none,4.511,370,The AI answer directly matches the ground truth without any discrepancies.
26,A,What is the geometric outer diameter for article 1106-43-12?,0,0,0,1,hallucination,4.494,424,"AI claims no information is available for the product code, but it should have looked up the correct value instead"
27,A,Are the working pressures of 1106-73-08 and 1106-43-08 the same?,0,0,1,1,hallucination,4.618,406,"The AI answer contains an unsupported claim about the product code 1106-43-08, which is not present in the ground truth."
28,A,"Between 1106-73-16 and 1106-43-16, which one has a larger bending radius?",0,0,1,0,none,4.401,383,"Incorrect answer does not convey core facts; instead, it provides a different product code and measurement"
29,A,I need the internal diameter (mm) and working pressure (MPa) for article 1110-00-04.,1,1,1,0,none,4.791,379,"The AI answer conveys the same core facts as the ground truth, with correct units and no unsupported claims."
30,A,What is the documented weight for article 1110-00-08?,1,1,1,0,none,4.35,370,"The AI answer matches the ground truth exactly, without any discrepancies or unsupported claims."
31,A,Can you find the mechanical bending radius for the 1110-03-06 hose?,1,1,1,0,none,4.513,394,"Answer conveys the same core facts as ground truth, with accurate citation and unit fidelity."
32,A,Compare the internal diameters of 1110-00-06 and 1110-03-06. Are they identical?,1,1,1,0,none,4.472,386,The AI answer conveys the same core facts as the ground truth and references specific product codes.
33,A,What's the performance rating for working pressure on the 1101-00-03?,1,1,1,0,none,4.342,373,"The AI answer conveys the same core facts as the ground truth, with correct units and a specific reference."
34,A,Is there a maximum length limit for article 1101-14-04-30 on a reel?,1,1,1,0,none,4.405,333,"The AI answer exactly matches the ground truth, with no deviations or inaccuracies."
35,A,We need to know the outer diameter (YD) for the 1101-14-12 hose.,0,0,0,1,hallucination,4.648,440,"Answer claims no information is available, but ground truth provides a clear answer"
36,A,How heavy is article 1101-14-20 per meter?,1,1,1,0,none,4.461,370,The AI answer directly copies the ground truth without any deviation or error.
37,A,Find the minimum allowed bend radius for the 1101-14-32 configuration.,1,1,1,0,none,4.417,372,"The AI answer exactly matches the ground truth, with no deviations or inaccuracies."
38,A,Can you specify the ID in inches for article 1101-14-24?,1,1,1,0,none,4.758,408,The AI answer directly quotes the ground truth and provides a clear conversion to inches.
39,A,"Which of the two, 1101-14-10 or 1101-14-16, is rated for higher working pressure?",0,0,1,0,none,4.486,419,"Answer conveys the same core facts as ground truth, but lacks context"
40,A,Verify the working pressure rating for article 1071-00-04.,1,1,1,0,none,4.359,366,The AI answer directly copies the ground truth without any deviation or error.
41,A,What is the outer diameter specification for the 1071-00-12 hose?,0,0,0,0,unknown,4.382,367,Judge response not parseable
