0,1,2,3,4,5
Product number,"Shell
size","Number of contacts
Number # AWG
size","MIL-designation
D38999/26T","Keying
*)",Remarks
RPTM2340004/09350,9 (A),6 #22D,A35PN,N,
RPTM2340004/09980,9 (A),3 #20,A98PN,N,
RPTM2340004/09981,9 (A),3 #20,A98PA,A,
RPTM2340004/09982,9 (A),3 #20,A98PB,B,
RPTM2340004/11020,11 (B),2 #16,B2PN,N,
RPTM2340004/11350,11 (B),13 #22D,B35PN,N,
RPTM2340004/11351,11 (B),13 #22D,B35PA,A,
RPTM2340004/11980,11 (B),6 #20,B98PN,N,
RPTM2340004/13040,13 (C),4 #16,C4PN,N,
RPTM2340004/13080,13 (C),8 #20,C8PN,N,
RPTM2340004/13350,13 (C),22 #22D,C35PN,N,
RPTM2340004/13351,13 (C),22 #22D,C35PA,A,
RPTM2340004/13353,13 C,22 #22D,C35PB,B,
RPTM2340004/13980,13 (C),10 #20,C98PN,N,
RPTM2340004/15050,15 (D),5 #16,D5PN,N,
RPTM2340004/15180,15 (D),18 #20,D18PN,N,
RPTM2340004/15190,15 (D),19 #20,D19PN,N,
RPTM2340004/15350,15 (D),37 #22D,D35PN,N,
RPTM2340004/15351,15 (D),37 #22D,D35PA,A,
RPTM2340004/15970,15 (D),"4 #16, 8 #20",D97PN,N,
RPTM2340004/17060,17 (E),6 #12,E6PN,N,
RPTM2340004/17061,17 (E),6 #12,E6PA,A,
RPTM2340004/17080,17 (E),8 #16,E8PN,N,
RPTM2340004/17260,17 (E),26 #20,E26PN,N,
RPTM2340004/17350,17 (E),55 #22D,E35PN,N,
RPTM2340004/17351,17 (E),55 #22D,E35PA,A,
C0000676/17350,17 (E),55 #22D,E35PN,N,
RPTM2340004/17990,17 (E),"2 #16, 21 #20",E99PN,N,
RPTM2340004/19110,19 (F),11 #16,F11PN,N,
