0,1,2,3,4,5
Product number,"Shell
size","Number of contacts
Number # AWG
size","MIL-designation
D38999/26T","Keying
*)",Remarks
RPTM2340004/19280,19 (F),"2 #16, 26 #20",F28PN,N,
RPTM2340004/19320,19 (F),32 #20,F32PN,N,
RPTM2340004/19350,19 (F),66 #22D,F35PN,N,
RPTM2340004/21160,21 (G),16 #16,G16PN,N,
RPTM2340004/21391,21 (G),"2 #16, 37 #20",G39PA,A,
RPTM2340004/21410,21 (G),41 #20,G41PN,N,
RPTM2340004/23210,23 (H),21 #16,H21PN,N,
RPTM2340004/23211,23 (H),21 #16,H21PA,A,
RPTM2340004/23350,23 (H),100 #22D,H35PN,N,
RPTM2340004/25040,25 (J),"48 #20,8 #16",J04PN,N,
RPTM2340004/25190,25 (J),19 #12,J19PN,N,
RPTM2340004/25610,25 (J),61 #20,J61PN,N,
